label	text_a	text_b
1	不修邊幅	衣著舉止令人覺得污糟、求其、唔整潔，唔注重自己外表。
0	攪攪震 / 搞搞震	畀憤怒掩蓋咗理智
0	手術	台灣嘅別名
0	開支	第一眼望落去見到嘅；單憑第一次觀察得到嘅印象；口頭少講
0	晾衫	簡介電影大綱同演員名單嘅單張，附有劇照，係1950至70年代嘅產物（量詞：張）
0	面對	舊毛病、舊惡習又出現
1	晏晝	中午時段；有時指中午至到天黑之前呢段時間（量詞：個）
0	矩	冷靜；情緒冇波動；唔會因為變故而慌亂
1	評估	為咗檢視進度、成效而做嘅觀察、測試（量詞：個）
1	普	廣泛、共通嘅嘢
0	踢爆	負責管理煮房，有時要煮埋嘢。通常係老一輩，又或者做飲食業嘅人先會用呢個詞。
0	白手興家	國家名；位於東南亞嘅國家，首都係金邊
0	不准	傳染病
1	表演	公開展示某種技能
1	烚下烚下	打邊爐
0	加納	整個陷阱俾人踩
0	或者	用嚟帶出某個行動要考慮到嘅變化
0	隻dup / 隻揼	日頭；同夜相對
0	麒麟	一個含道德教育或者警世智慧嘅短篇故事（量詞：個）
0	閂	最低限度
0	load	喺句子前面，用嚟帶出話者喺綜合所有資訊之後，得出嘅問題或者結果
0	孤寒	泛指代詞，冇特別指明人或者物，可以理解做「一切」、「所有」、「求其一個」
0	不僅	依照樂曲發聲；用人聲發出旋律
1	除 / 𡃴	臭味；通常指體臭（量詞：埲／浸／朕）
0	車站	划船、艇；用漿嚟撥水，令隻船移動
0	沊 / 丼	皮膚受某啲真菌感染之後會出現紅腫同痕癢嘅症狀，已經感染咗嘅皮膚同仲未感染嘅皮膚會特別紅腫（量詞：笪）
1	救主	耶穌喺基督信仰入面嘅其中一個稱呼（量詞：位／個）
0	詩	旺角拼音嘅簡稱
0	都	日出冇幾耐嘅時間
1	隻揪 / 隻抽	單挑；一個人打一個人
0	笑面虎	（由香港）去澳門，多數指去賭錢
0	丁	關係好親密嘅人之間（尤其係情侶）嘅暱稱
0	擤 / 呻	鍾意；喜歡
0	冇膽匪類 / 無膽匪類	麻雀術語，指自己手牌嘅隻數少過正常嘅情況
0	袞袞諸公	令到自己嘅慾望同行為喺自己嘅控制之下，唔會做出一啲違反道德或者法律嘅行為。
0	報紙	一種以花生為主要成份嘅南洋醬料
1	不准	唔容許，唔俾，被禁止
0	不得已	畀人知道咗唔見得光嘅嘢；後面多數配「咗」或者「晒」
1	幾多號 / 幾號	問對方有數目或者次序係乜嘢
0	勘察	中式嘅結婚傳統，婚禮嘅其中一環入面，新郎同新娘要對祖宗叩頭。
0	太監讀神學	喺水上面航行嘅交通工具（量詞：隻／艘）
0	合併	指一日嘅活動完結
1	東涌	香港地區；位於大嶼山西北部，鄰近赤鱲角機場
0	堅	好多嘢做，冇空閒、休息嘅時間
0	糖果	球狀物體；圓嘅立體物體（量詞：個）
0	黑洞	構成事物嘅物質、因素、元素
0	尖	加喺量度單位前面，用嚟標示千分之一
0	溝	雙方得唔到佢地心目中利益嘅比例而爭執
0	丙	要用嘅野冇缺少，狀態良好
0	祂	帶出某樣嘢由乜嘢組成
1	二人世界	一對愛侶單獨相處嘅機會
1	咗 / 左	放喺動詞之後表示動作完成
0	出發	指一件事一清二楚冇疑點、係常識、好易估到或者個個都知
0	嘉賓	玩、戲弄；通常指講大話去拖延、打發、敷衍 對方
1	眾	好多人
0	解	靈魂；意識；思想
0	掌握	百分百，完全係，特質同某物完全一致
0	煲機	五穀磨成粉之後製成嘅扁平食品（量詞：塊／件）
0	晏	被虐待狂
1	OT	加班，由英文名詞、副詞 overtime 縮寫而嚟
0	咩	着喺身上面嘅嘢（衣物）嘅統稱
1	跟住	追蹤；尾隨
0	毛巾	唔浪費，唔嘥嘢，盡量用少啲時間、錢、資源
1	窿 / 竉	穿透一層物質嘅開口（量詞：個）
0	不用	媽媽嘅媽媽
0	遼	放喺人稱代詞，或者指涉人嘅名詞後面，去表示複數
0	刀	喺考試入面犯規（例如偷睇筆記、偷試卷）去令自己／人哋攞到優勢
1	首	計算詩、詞、歌曲等嘅單位
1	繃緊	將塊面拉到好實
1	冇幾耐	好快，唔洗一陣，過咗一段好短嘅時間後
0	清盤	引起麻煩嘅
0	一筆勾銷	文學、藝術方面嘅非凡能力
0	戲肉 / 戲玉	由病毒感染引致嘅上呼吸道疾病，症狀包括流鼻水同喉嚨痛
1	祥	吉利
0	交易所	熱切渴望一件事快啲發生
1	園林	通過人工方法，例如盆栽、假山佈景等等，模擬出嚟嘅自然環境（量詞：個）
0	keep住	後生，仲係好有活力嘅時光
0	朝早	以嚴肅嘅態度對待事情；唔馬虎
0	Q	政治實體裡面，享有法律規定下嘅權利同需要承擔義務嘅人 （量詞：個）
0	局	有意向做一樣嘢
1	多謝	向對方表示感激
1	阿妹	用嚟稱呼有共同父母（包括非親生嘅父母，或者只係父或母是但一方）而又細過自己嘅女性親人。
1	黃 / 皇	畀人知道咗唔見得光嘅嘢；後面多數配「咗」或者「晒」
1	禾稈冚珍珠	用平凡去掩蓋財富或者才能
1	隨波逐流	做人冇自己嘅立場、方向、目標，人做咩你就做咩
0	之內	好耐之前
0	本	認為、覺得
1	下晝	正午十二點之後至黃昏之前（量詞：個）
0	弊	擺動身軀，喺水入面移動
0	伯公	形容啲嘢好唔穩陣，隨時有跌落嚟嘅危險
0	蓆嗲	因為無咩好做，所以搵啲嘢嚟做吓解悶
0	volt	阿媽個家姐嘅老公，或者阿媽個細妹嘅老公（量詞：個）
1	餅	五穀磨成粉之後製成嘅扁平食品（量詞：塊／件）
0	點	差嘅；衰嘅
0	心肝椗	第三人稱代名詞（通常指人或者動物，好少講死物）
0	陰陽眼	用犀利啲、強烈啲嘅手段去做一件事
1	風靡	流行、受歡迎
0	骨子裏 / 骨子裡	中國神話中掌管廚房同埋飲食嘅神
0	公公	女人性興奮
0	馬頭圍	毀壞
0	花	遵守某規則或架構
1	黐	黏貼
0	碼	一個人成世人嘅經歷
1	細ngai1 / 細囈	唔重要嘅；好小事嘅
0	鳩	形容人行為愚蠢
1	揀	喺兩樣以上嘅嘢入面，決定要邊樣
1	不要	唔好嘅意思
0	拆樓	形容將啲嘢拉得好緊
1	一朝早	日出冇幾耐嘅時間
0	兼容	自己開始一門生意，做老闆
1	緊	放喺動詞之後，表示動作而家正在進行；有時會同「喺度」一齊用去加強語氣
0	餓	形容雨落得好大
0	囉囉攣	負責舉辦某次活動嘅組織
0	唱	爭執；音譯自英文argue
0	戌	全部；所有
0	珠江	表示「第二」嘅前綴
1	死機	一個扯旗中嘅男人，因爲外來因素軟咗落嚟
1	好	擔當形容詞謂語嘅預設程度副詞，冇特別意思
0	辦 / 板	指喺實質內容不變嘅情況下，重覆做一啲已經做過嘅事、或者講一啲已經講過嘅話題、推出一啲已經推出過嘅產品；略帶貶義
1	框架	包圍物件嘅格、邊界（量詞：個）
0	公共	（影像）邊界分明，容易辨識；（說話）明白具體；唔模糊
0	利	通常用嚟表明下列任何事情都唔會改變某事
0	便士	對於一對夫婦嘅敬稱（淨係喺非常正式嘅場合使用）（量詞：對）
1	不近人情	冇同理心，涼薄，苛刻
1	貓	哺乳類動物，係常見嘅寵物；有好高嘅跳躍力，夜行，有夜視能力，識得捉老鼠（量詞：隻）
0	跛腳	表示認同對方嘅嘢
0	論	「九」嘅大寫；見大寫數字
0	埃	國家名；位於非洲西部嘅國家，首都係阿克拉。
0	捱更抵夜	指塊面兩側近耳仔嘅頭髮
0	吖	除咗標明嘅人與物以外；第二啲
1	大拿拿	形容涉及嘅金錢數量好多
1	行路	淨係靠對腳嚟前進，每一步都會有一隻腳喺地面
0	吊靴鬼	橫隔膜痙攣嘅癥狀，通常喺飯後出現
1	選舉	揀出代表嘅活動（量詞：次／場／個）
0	佬	指稱接近自己嘅，不可數或者眾數嘅嘢
0	放飛機	父母入面男性嘅一方（量詞:個）
1	你呢	通常講完自己或某啲人嘅資訊或者打算之後，用嚟詢問對方同樣嘅資訊，或者係咪會跟隨自己／所提及嘅人做同一樣嘢。
0	調兵遣將	同其他人約定咗之後無兌現承諾
1	開天窗	報刊、雜誌、戲劇節目之類，因審查、作者欠稿或抗議等理由而冇內容刊登，版面空白一片
0	伯爺婆	生煎嘅餃子（量詞：隻）
0	陳	對女性嘅護士稱呼；男性嘅護士可以叫「阿sir」
1	發板 / 發辦	幫一班人揸主意食乜
1	今晚打老虎	法文入面「你好嗎？」嘅廣東話諧音
0	揭盅	帝王宫殿嘅樓階，引伸為同皇帝有關嘅嘢。
0	氹波拿	揀出代表嘅活動（量詞：次／場／個）
1	冚	全部；所有
0	扯大纜	形容喺條件較差嘅情況下創一番事業
0	專業	舊時男性對自己妻子嘅謙稱
0	迪士尼	幼長嘅物件嘅一端（量詞：個）
0	O咀 / O嘴	吐痰
1	甩底	同其他人約定咗之後無兌現承諾
1	席捲	將所有嘢包括其中；好快咁掠過
0	白撞	將其他人當係蠢人噉去欺騙同操控
0	己	外形近似球體，以電力做能源，發出光線照明嘅裝置（量詞：個／隻）
0	悶	機器發出提示用嘅聲音
1	丁	人嘅量詞，可以用喺「友」前面，形容人數唔多，最多得幾個
0	撳𨋢 / 㩒𨋢	跟喺後面或者順住另一樣嘢
0	把鬼	即係細路仔
0	令千金	用手指去捏一樣野，然後再用力扭
1	波士	老闆, 上司；英語 boss 嘅音譯（量詞:個）
1	擺設	放置係平面（如茶几、櫃頂等）嘅裝飾品，例如陶瓷娃娃（量詞：個、件）
0	纏	喺好滑、冇乜阻力嘅表面，靠地心吸力由高向低，打斜噉落嚟
1	呢排 / 依排	最近；而家之前同之後少少嘅一段時間
0	死火	冇習慣使用某種技能，缺乏練習，以致唔夠熟練
0	休克	減少數量或者程度
0	當差	保持唔到自尊、尊嚴
0	跑	勁；非常
0	吮	唔積極，要人地做嘢自己先有反應
0	跑	係山脊上面最凹入去嘅地方
1	死仔包	用嚟鬧百厭細路、後輩嘅稱呼（量詞：個）
0	鋸	可能；有機會
0	唱	消閒活動，指睇雀仔
1	監守自盜	負責管理財政嘅人挪用公款
0	簷篷	少少；通常放喺形容詞後面用嚟做比較
0	矮	數量細
1	伊雲士 / 伊雲斯	將剩低嘅肉切薄加汁嘅烹調方式
0	阿sir / 阿蛇	佔據（間中有指佔據過多嘅意味），據為己有唔俾人掂。
1	越嚟越	漸漸；有一個向住某個方向嘅趨勢
0	啲 / D	放喺動詞之後，表示動作而家正在進行；有時會同「喺度」一齊用去加強語氣
0	仔	用筆或類似工具製作圖像
0	咁耐以嚟	喺某個地方舉辦，邀請嘉賓同觀眾探討某個話題嘅交流場合（量詞：個／次／場）
0	衫	隊伍，團隊。（量詞：個）
0	劈	臨做某樣嘢嗰陣驚青，縮沙
0	不盡然	因為身體唔舒服或者情緒波動，覺得坐立不安，唔自在，點樣都唔可以平靜落嚟
0	通過	浪費；令到資源或者好好嘅機會唔可以有效噉運用
1	嗶	描述一啲電子器材發出嘅尖銳聲響
0	晾衫	喪失咗生殖能力嘅人
0	擺甫士	為咗檢視進度、成效而做嘅觀察、測試（量詞：個）
0	賴死	無任何缺點；通常用嚟形容抽象嘅嘢（做法、政策、方案等等）
1	稿	起草咗，準備日後再作修改嘅文章／畫作（量詞：份／篇）
1	醫	將有病嘅生物治癒，令佢病好
1	波蘭	國家名；位於中歐嘅國家，毗鄰德國，首都係華沙
1	稱	講；喺正式場合用嚟覆述人哋嘅講法
1	做乜嘢	用嚟提問，意思係「點解」
1	磁頭	光碟機或者硬碟機讀取同寫入資料嘅組件（量詞：個）
0	隻揪 / 隻抽	回報
0	大花筒	講自己啲不滿出嚟
0	倖存者	打人
0	本土	確切知道；非常了解
0	斟	將有凹陷空間嘅工具放入液體，等液體中嘅物體落去個凹位度，得到承托，再帶離液體表面
1	冰	毒品「安非他命」嘅花名
0	其他	冇主見，淨係識得附和嘅人
1	賓	貴客
1	側跟	同某個實體處於平排非常近嘅位置，喺左邊或者右邊，而中間並冇隔住另一個實體
0	或	引申解做面部表情
0	度假	細路；小朋友
0	席捲	之後；接住落嚟再做同一件事嘅時候
0	貪	形容一個人成日駁嘴
0	hea / hae	將整濕咗嘅嘢冚住焗住，或擺喺通風不良／潮濕嘅環境入面。
0	死對頭	叛徒；勾結敵人，出賣自己組織嘅人（量詞：個／條）
1	索	用鼻吸入
1	仆街	形容人賤格、冇品
1	佢哋	第三人稱代名詞，指稱嘅生物或者死物係眾數
0	話之 / 話知	本身係英文 gear 度嚟；指車入面嘅內燃裝置（量詞：副）
0	咩	大概；接近
1	故	所以；用嚟帶出理由嘅連詞
1	見死不救	知道喺控制到嘅範圍裏面有危急情況發生，都唔理佢、唔幫手
1	超	太陽眼鏡嘅別稱（量詞：副）
0	甩	蠢；笨；智商低下
0	中暑	遅啲；晏啲；一陣之後；通常後面會接住不遠嘅將來嘅行動，或者會發生嘅事
0	䁽 / 𥅈	天主教會最重要嘅祭典，源於耶穌同一班門徒共晉嘅最後晚餐，喺主日或者重要日子舉行
1	佩服	覺得某個人好勁，或者好值得人尊重
1	調配	分派資源
0	得	用喺分句或句子開頭，對前面內容作出補充或修正
1	愚弄	將其他人當係蠢人噉去欺騙同操控
1	偈	本身係英文 gear 度嚟；指車入面嘅內燃裝置（量詞：副）
0	前後	一種以花生為主要成份嘅南洋醬料
1	咩話	詢問對方剛才講咗乜嘢；通常係因為聽唔清楚，要求對方重覆講一次
0	嗯	正視，尤其指一啲想逃避嘅人或者問題
0	眉頭眼額	俾輩份或身份比較高嘅人指責嗰陣反駁對方
0	曱甴 / 甴曱	國家名；位於東南亞嘅國家，首都係金邊
0	作廢	喺重要地點為軍事防禦而設嘅堅固建築物（量詞：座）
1	有口皆碑	個個都讚
0	唓	摸；掂
1	單打	俾說話人聽；喺對方在場嗰陣，用言語迂迴而刻薄噉表達對佢嘅不滿、鄙視
0	書面	一個人對物件「點為之靚」嘅睇法、審美觀同埋生活態度
1	利	同好處、着數、益處有關
1	最	排第一嘅；程度至高嘅
0	hea / hae	形容物件嘅開口、接口閂得實、冇罅；緊閉
0	疤痕	公司派獎金畀股東或者員工
0	閉	貶指暗中聯繫、合作
1	傷風	由病毒感染引致嘅上呼吸道疾病，症狀包括流鼻水同喉嚨痛
0	挨	經水路移動
1	交帶	責任心，指會同其他人講低行程、進度；通常要同「有」、「冇」一齊用
0	開	一個人守唔到秘密，好容易就洩露咗出去
0	拍	唔乖；反叛；行為差
0	甘筍	唔可以，唔能夠，唔得
0	提示	用高象真度嘅方式紀錄某個景象，通常以菲林或電子圖像方式記錄；（通常會講影相）
0	不治之症	老婆；喺婚姻入面女性嘅一方
1	不適	身體唔舒服，通常用嚟形容輕微嘅病，例如屙、嘔、肚痛。
1	不如	俾提議嗰陣成日會用嘅詞
0	體系	形容數量好多；無窮無盡
0	奔馳	可能；表示有機會成立
1	山頭主義	各立派系、各自為政嘅態度同做法
0	燈塔	利用細菌或病毒製造嘅注劑，令身體產生對某種細菌或病毒嘅抗體，減少患上某種嚴重疾病嘅機會
0	觀	即係飲用嘅酒精，化學式係「CH₃CH₂OH」
0	新疆	構成事物嘅物質、因素、元素
0	倒立	正確
0	download / 單撈	令到一個人覺得好驚
0	受到	着喺上半身，冇袖嘅衫（量詞：件）
0	坐底 / 座底	其他人食過嘅嘢，或者佢哋餐具掂過嘅食物
0	動筆	形容食物含有好多脂肪
0	佈置	唔知一樣野喺邊又需要嗰樣野嘅時候，去自己認為果樣嘢所在嘅地方睇下有冇
1	有	帶出某樣嘢由乜嘢組成
0	械 / 𢬿	了解對方嘅意見睇法
1	石家莊	城市名；位於中國東北部嘅城市，係河北嘅省會
0	清光	用唔係自己真正嘅身份去行事
0	王母	自動櫃員機，用嚟喺銀行戶口撳錢出嚟嘅機器（量詞：部）
0	不乏	逐啲逐啲噉披露資訊，或者逐啲逐啲噉做某樣嘢；通常要其他人催促先肯做
1	疫	傳染病
0	鬥 / 抖	加喺時間名詞或量詞之前嘅前綴：下一個
1	導盲犬	受過訓練，帶失明或者弱視人士行路，幫佢哋避開障礙嘅狗（量詞：隻）
0	摺	停止，放棄
0	嗰啲嘢	蕉嘅量詞
0	鹹片 / 咸片	化學元素，原子序係46，符號係Pd；外形係銀白色嘅金屬
1	淥	用滾水將食物浸熟嘅煮食方式
1	楷	球狀物體破裂或者分開嘅部份
0	撈	著喺腳度，用嚟保護對腳同吸汗嘅布製品（量詞：隻／對）
0	弗	一齊學習或工作嘅分組組別（量詞：個）
0	鬢	同周圍顏色唔同嘅一點（量詞：粒）
1	鋸	條邊有尖齒 嘅刀片，透過前後郁動將木材等物料截斷嘅工具（量詞：把）
1	辛	天干嘅第八位，詳情見天干地支。
1	觀鳥	消閒活動，指睇雀仔
1	斧頭	一種工具；有兩部分，下半部係畀手揸住嘅長棒，而上半部喺沉重而鋒利嘅刀刃，運用重量同槓桿原理嚟劈或者砍 開物件 （量詞：把）
0	食豆腐	放喺動詞後面，表示一個動作中斷咗，之後再繼續進行
0	擁 / 㧬	國家名；位於東南亞嘅群島國家，首都係馬尼拉；曾經係西班牙 嘅殖民地同美國 屬土，大部分國民都信奉天主教
0	當年	新年前一日；一年嘅最後一日（量詞：個）
1	鳩	亂嚟；冇深思熟慮；求其；唔理後果
0	新	俾提議嗰陣成日會用嘅詞
0	說話	數目字1000；10嘅3次方
0	僧	話一啲嘢畀人聽
0	氹波拿	化學元素，原子序係1，符號係H
0	對	乾淨、清潔，唔會令人病
1	咩	羊嘅叫聲
0	卅	對一件事感到滿足，心情好好
1	唔使問阿貴 / 唔使問阿桂	指一件事一清二楚冇疑點、係常識、好易估到或者個個都知
0	我	皮膚受某啲真菌感染之後會出現紅腫同痕癢嘅症狀，已經感染咗嘅皮膚同仲未感染嘅皮膚會特別紅腫（量詞：笪）
0	出糧	贏同輸；成功同失敗；一個足以分出優劣，明顯嘅實力差距
0	逐	通過人工方法，例如盆栽、假山佈景等等，模擬出嚟嘅自然環境（量詞：個）
0	孩	放啲嘢入口去吸、啜
0	乍看之下	藏入地下，用沙泥冚住
0	吹水唔抹咀 / 吹水唔抹嘴	用嚟指出一樣嘢顯而易見，但係原先（或者聽嘅人）冇察覺到嘅資訊，通常同一句入面會有副詞「咪」
0	保鮮紙	手同腳
0	埋齋	叫或者氹一個人去做壞事
1	安靜	環境入面冇聲，唔會嘈雜
0	竇	經歷咗好長時間嘅
1	炒魷	即係解僱 。
0	倒掛金鈎	廣東嘅簡稱，用於同廣東有關嘅事物
0	死機	用嚟鬧百厭細路、後輩嘅稱呼（量詞：個）
0	假設	名次；排名
1	濕	女人性興奮
1	眾數	某啲語言入面，一個詞所描述嘅嘢多於一個嘅時候用嘅寫法、講法（量詞：個）
0	恨不得	勞動或者犯罪時所需嘅工具，包括黑幫毆鬥嘅武器
0	捉痛腳	政府或機構用大量資金或者政策推高價格
0	睄	將孕婦嘅肚切開，係分娩嘅方式之一
0	安非他命	歐亞混血兒嘅貶稱，係好侮辱人嘅叫法（量詞：個）
1	mood	心情嘅英文借詞；指心情、興致
0	度假	蠢蠢哋；唔得醒目；天然呆
1	鉛	化學元素，原子序係82，符號係Pb，係一種金屬
0	𢞵 / 弗	經水路移動
0	打算	政府授權定期出版，喺公共事務同法令上嘅通告（量詞：份／期）
0	憲報	大眾嘅認同
1	婆	隔兩代嘅母系長輩
0	姣屍燉篤 / 姣屍扽篤	加班，由英文名詞、副詞 overtime 縮寫而嚟
0	食撻	冇停止，冇結束，指好多，多到唔會完。
0	快手	兩件一組，通常一齊用嘅嘢嘅量詞，例如筷子、鞋
0	佈置	自己開始一門生意，做老闆
0	瞰	有系統噉傳播知識同價值觀嘅過程
0	財源廣進	達唔到要求，做唔到最好
0	拜託	一對愛侶單獨相處嘅機會
1	出氣袋	畀人借嚟洩憤嘅人（量詞：個）
0	屙屎貪高興 / 痾屎貪高興	哺乳類動物，前肢有薄膜和身體連住成翼狀，夜行類動物，通常係群體活動（量詞：隻／群）
1	幾	疑問代詞，用嚟問咩時間、時間長度，或者形容詞、副詞程度
0	扯鼻鼾	逃避執法人員，通常係指街邊嘅無牌小販
0	不動聲色	屋企財產嘅多少；通常後面會配搭富裕、清貧、一般 呢啲形容詞
0	膠	一間國際知名，主要製作卡通動畫嘅公司、品牌，最有代表性嘅卡通人物係米奇老鼠
0	公僕	挑釁；令人覺得憤怒
0	MK	應承咗出席一個約會，但最後冇出現
0	褪	甜味嘅零食，通常係粒狀嘅（量詞：粒）
0	清	質地、物料柔軟
0	拍拖	表示「第二」嘅前綴
1	紮實	形容身型、肌肉堅固強壯
1	鳩	一種雀仔，同鴿咁上下
0	包	記低爭對方幾多錢嘅證明（量詞：張）
1	頂	帽或其他類似物品嘅量詞
0	浴室	只係啱啱好足夠，冇預多、冇預鬆；唔太穩陣
0	撐 / 撑	表示範圍擴張、擴大
1	認真	以嚴肅嘅態度對待事情；唔馬虎
1	燈塔	喺海岸嘅建築物，夜晚會發出強光，畀船隻做參考（量詞：個）
1	乙醇	即係飲用嘅酒精，化學式係「CH₃CH₂OH」
0	基	啱啱開始做一樣嘢或者學習一項技能，仲未有經驗嘅人（量詞：個）
0	噉 / 咁	幼身嘅紅蘿蔔（量詞：條）
0	刀	借代啲重複又相似嘅嘢
0	橫	事情嘅階段，通常指已經去到好難挽回嘅階段（量詞：個）
0	囡	喺法庭上面爭辯
0	歐姆	表示程度加深
0	撈亂	做一啲嘢去得到人心
0	雕刻	用文火慢慢噉煮食物
0	馬交	延遲
1	來	加喺時間名詞或量詞之前嘅前綴：下一個
1	爆冷	人人覺得會輸嗰一方反而贏咗；大熱倒灶
0	勤勞	捉住
0	拍照	最精彩嘅時刻仲未嚟到
0	包拗頸	形狀仿照人嘅乳頭整，俾BB啜住，等佢哋靜落嚟嘅橡膠或者乳膠（量詞：個）
0	安靜	行事諗嘢好舊，唔接受新事物嘅人（量詞：座）
0	打算	父母入面男性嘅一方（量詞：個）
1	貪	想要一啲唔屬於自己嘅嘢
0	癬	歇後語，下半句係「冇撚得救」
1	闌干	欄杆
0	狹	點樣
1	鍋貼	生煎嘅餃子（量詞：隻）
0	局	戶外設有攤位遊戲嘅大型活動（量詞：個）
1	保鮮紙	一種透明嘅塑膠薄膜，有少少黏性，可以用嚟包住食物，阻隔空氣，令食物可以擺耐啲（量詞：張／層）
0	籠統	未經批准
0	弊	即係解僱 。
0	如虎添翼	引申為非常短嘅距離
0	篡位	流行、受歡迎
0	晝	形容數量好多；無窮無盡
0	太平清醮	呢一刻；呢個時候
1	青	淺綠色
1	祂	尊稱上帝嘅第三人稱代名詞，主要係基督徒用嘅
0	談吐	重記得過去嘅人同事，昔日嘅情誼一直擺喺心裏面
0	要麼	指人或者物件嘅本質、內涵
0	不得	行李、細軟
0	桌	用手掌打人呢個動作嘅量詞
0	慢慢	用滾水或者滾湯將生嘅食物煮熟
1	薄	唔多；好少
0	埋	唔肯將自己嘅嘢畀人或者分享
1	柬	信或請帖嘅正式啲嘅講法
1	嬉皮士 / 嬉皮仕	西方國家1960、1970年代反抗習俗同埋當時政治嘅年輕人（量詞：個）
0	坡	假裝，明明唔係又表現到好似係咁。
1	黯	一種好深嘅黑色
0	隔籬飯香	唔明白狀況，心入面有疑問
1	拆夥	解散隊伍；結束合作關係
0	hea / hae	按照預定日程、時間表
1	千千萬萬	形容數量好多；無窮無盡
1	不由自主	控制唔到動作、情感；唔想做某件事，但身體或情感唔受控制做咗
1	奉承	做一啲迎合目標喜好嘅事，希望得到佢嘅喜愛。含貶義。
0	輸	非常忙
0	進	唔諗清楚自己做唔做到就應承；下巴輕輕
0	三味線	冇聽取人哋嘅建議或者勸告，當佢哋冇到
0	古玩	台灣嘅別名
0	拮 / 㓤	阿媽個家姐嘅老公，或者阿媽個細妹嘅老公（量詞：個）
0	仔	指空氣高溫多濕，身體無法衡溫，導致體溫過高嘅症狀
0	心肝脾肺腎	醜樣嘅女人（量詞：個）
0	不盡然	圍牆入面房屋嘅空地
0	報紙	香港地方名；屬於離島，位於大嶼山東面
0	對	城市名；埃及嘅首都
1	笑面虎	一個睇落去好友善，但係實際上就心狠手辣嘅人（量詞：個／隻）
0	啞老師	係一種經常俾人用嚟當毒品用嘅興奮劑；俗稱「冰」
0	如常	哥哥嘅雅稱
1	局	政府分工辦事嘅單位，一般而言擁有擬定政策嘅權力；多數讀guk2（量詞：個）
1	孭飛	為事件負責；帶領人做某件事，並為件事負責任
1	冇呢支歌仔唱	比喻過去某件事（通常係指好嘅事）唔會再有；好景不再
0	日頭	專用來接學生返學放學嘅車（量詞：架）
0	財源廣進	即係平時講嘅神父，係天主教或者東正教 嘅神職人員（量詞：名）
0	千	一個人獨攬大權，控制晒，有貶抑人蠻橫、專制嘅意味
1	族裔	有共同血統同文化嘅一群人（量詞：個）
0	背負	打交、群毆；通常指黑社會或者社團啲人拎架撐打交
0	不然	串謀做壞事
0	keep住	一種生果，細細粒、圓碌碌，個殼係淺啡色，上邊有淺淺地類似龜殼咁嘅紋路，啲肉係透明或者乳白色。（量詞：隻／粒）
1	仔	某人所養育嘅男性（量詞：個／粒）
1	土耳其	國家名；位於歐亞大陸嘅國家，橫跨歐洲同亞洲，首都係安卡拉，喺中東地區除以色列之外擁有最強嘅軍力。
0	餅	100,000,000
1	稔	熟睡，好難被嘈醒
1	擺脫	將自己從某人或某事中解放，撇甩佢哋。
